pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_build_runs,number_of_build_failures,number_of_linked_issues,time_since_last_commit,test_coverage,number_of_reviews_requested,number_of_revisions,number_of_milestones,dependency_changes,comment_authors
55121,2024-06-08T03:27:08Z,2024-06-10T19:06:02Z,altsun,2,8,4,6,1,4,2,"['scope: curriculum', 'status: waiting update', 'new javascript course']",44598.0,0,229135.0,0,30,1,0,432749.996589,,0,4,0,False,"['huyenltnguyen', 'zxc-w', 'gikf', 'Ksound22', 'altsun']"
55134,2024-06-08T22:43:52Z,2024-06-10T11:35:32Z,iLtc,2,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'scope: i18n', 'new javascript course']",46613.0,0,132700.0,0,30,2,0,459781.048032,,0,1,0,False,"['iLtc', 'ilenia-magoni']"
55170,2024-06-12T15:18:46Z,2024-06-12T17:09:32Z,sidemt,0,0,2,4,2,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,6646.0,0,30,0,0,266941.053775,,0,2,0,False,[]
54668,2024-05-06T09:58:28Z,2024-06-15T06:15:11Z,ahmaxed,1,28,16,397,11,4,2,"['status: waiting review', 'platform: api', 'platform: learn', 'scope: i18n']",2623938.0,0,3442603.0,4,30,0,0,47002.099048,,0,16,0,False,"['ojeytonwilliams', 'ahmaxed', 'scissorsneedfoodtoo']"
54140,2024-03-19T07:32:58Z,2024-06-13T15:46:07Z,Dario-DC,5,30,68,5998,83,3,1,"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'new python course']",4516339.0,0,7476414.0,0,30,0,0,169121.142791,,0,68,0,False,"['gikf', 'Dario-DC', 'zairahira', 'ilenia-magoni']"
55147,2024-06-10T10:00:27Z,2024-06-10T10:55:12Z,PRANJALI-SANKPAL,2,0,1,2,1,2,2,['scope: curriculum'],3297.0,0,3431.0,0,30,1,0,462055.151883,,1,1,0,False,"['PRANJALI-SANKPAL', 'gikf']"
55140,2024-06-09T13:58:47Z,2024-06-10T06:39:59Z,ilenia-magoni,0,0,1,2,1,2,2,"['status: waiting review', 'scope: tools/scripts']",,0,67001.0,0,30,0,0,470585.181498,,0,1,0,False,[]
55173,2024-06-12T19:36:29Z,2024-06-13T14:38:12Z,lasjorg,1,1,2,149,1,2,2,"['scope: curriculum', 'odin project']",38332.0,0,77566.0,0,30,0,0,180558.206547,,0,2,0,False,"['Sembauke', 'huyenltnguyen']"
55149,2024-06-10T12:00:42Z,2024-06-10T16:22:24Z,ilenia-magoni,0,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,15721.0,0,28,1,0,442550.221985,,0,1,0,False,[]
55112,2024-06-07T13:38:07Z,2024-06-07T19:24:45Z,ojeytonwilliams,0,0,1,75,1,2,2,['scope: tools/scripts'],,0,24231.0,0,30,0,0,687395.317101,,0,1,0,False,[]
55161,2024-06-11T15:08:54Z,2024-06-11T17:02:30Z,camperbot,0,0,1,115707,4999,2,2,"['scope: curriculum', 'scope: i18n', 'crowdin-sync']",,0,6817.0,0,30,0,0,353762.353187,,0,1,0,False,[]
54761,2024-05-13T12:06:15Z,2024-06-06T08:14:16Z,Sembauke,0,0,3,140,2,0,0,['scope: tools/scripts'],,1,2061561.0,0,0,0,0,815587.25596,,1,3,0,False,[]
54889,2024-05-21T00:04:53Z,2024-05-21T02:52:22Z,DanielRosa74,0,0,1,6,3,0,0,"['scope: curriculum', 'scope: i18n', 'new english course']",,0,1539605.0,0,0,0,0,689625.428739,,0,1,0,False,[]
55106,2024-06-06T21:28:54Z,2024-06-07T04:45:49Z,royjohnlee,0,0,1,2,1,0,0,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,26215.0,0,0,0,0,743574.432264,,0,1,0,False,[]
55102,2024-06-06T09:40:19Z,2024-06-06T14:02:54Z,Sembauke,0,0,1,56,1,0,0,['scope: tools/scripts'],,0,16366.0,0,0,0,0,795938.608651,,0,1,0,False,[]
55101,2024-06-06T07:03:05Z,2024-06-07T00:24:37Z,huyenltnguyen,0,0,1,38,2,0,0,"['platform: learn', 'scope: tools/scripts']",,0,78009.0,0,0,0,0,743729.625923,,0,1,0,False,[]
55099,2024-06-05T18:31:20Z,2024-06-06T06:08:28Z,royjohnlee,0,0,1,8,2,0,0,['platform: learn'],,0,41828.0,0,0,0,0,825015.637841,,0,1,0,False,[]
54990,2024-05-28T02:43:51Z,2024-06-06T06:13:56Z,lasjorg,0,0,3,3,1,0,0,"['platform: learn', 'status: merge conflict']",,0,820408.0,0,0,0,0,794485.765423,,0,3,0,False,[]
55031,2024-05-30T09:14:36Z,2024-06-05T16:53:21Z,Sembauke,0,0,2,217,5,0,0,"['status: waiting review', 'scope: tools/scripts']",,0,545926.0,0,0,0,0,872723.065205,,0,2,0,False,[]
55089,2024-06-05T04:37:45Z,2024-06-06T06:01:44Z,royjohnlee,0,0,1,8,4,0,0,"['status: waiting review', 'scope: curriculum', 'new english course']",,0,91439.0,0,0,0,0,825421.211902,,0,1,0,False,[]
54819,2024-05-15T21:14:36Z,2024-06-06T06:40:08Z,a2937,0,0,1,28,1,0,0,"['status: waiting review', 'scope: curriculum']",,0,1848332.0,0,0,0,0,823117.760077,,0,1,0,False,[]
55080,2024-06-04T11:17:03Z,2024-06-05T15:41:23Z,ojeytonwilliams,0,0,1,2,1,0,0,"['status: waiting review', 'scope: tools/scripts']",,0,105976.0,0,0,0,0,873326.803782,,0,1,0,False,[]
54409,2024-04-16T07:52:43Z,2024-06-06T17:18:30Z,Sembauke,0,0,11,520,10,0,0,"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n']",,0,4444422.0,0,0,0,0,780740.830129,,0,11,0,False,[]
55013,2024-05-29T14:56:45Z,2024-06-06T06:43:05Z,moT01,0,0,2,2,1,0,0,"['status: waiting review', 'scope: curriculum']",,0,663639.0,0,0,0,0,820881.841051,,0,2,0,False,[]
54994,2024-05-28T10:27:19Z,2024-06-05T16:02:00Z,Sembauke,0,0,3,141,2,0,0,"['status: waiting review', 'scope: tools/scripts']",,0,711281.0,0,0,0,0,875805.844939,,0,3,0,False,[]
55095,2024-06-05T15:22:00Z,2024-06-07T00:28:24Z,altsun,0,0,2,513,26,0,0,"['scope: curriculum', 'scope: i18n']",,0,119184.0,0,0,0,0,759021.937249,,0,2,0,False,[]
54559,2024-04-28T09:53:26Z,2024-05-02T06:34:15Z,zxc-w,3,0,4,16,4,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",71895.0,0,333649.0,0,8,0,0,3847495.31433,,0,4,0,False,"['camperbot', 'jdwilkin4']"
54592,2024-05-01T12:25:53Z,2024-05-01T13:41:53Z,camperbot,0,0,1,14,1,2,2,"['platform: learn', 'scope: i18n', 'crowdin-sync']",,0,4561.0,0,30,0,0,3908237.629339,,0,1,0,False,[]
54567,2024-04-29T12:26:07Z,2024-04-30T01:53:11Z,camperbot,0,0,2,233,22,2,2,"['platform: learn', 'scope: i18n', 'crowdin-sync']",,0,48425.0,0,8,0,0,4037160.054147,,0,2,0,False,[]
54010,2024-03-07T07:41:06Z,2024-03-08T15:36:49Z,Sembauke,0,0,1,2,1,2,2,['scope: curriculum'],,0,4867612.0,0,8,0,0,3814274.177516,,0,1,0,False,[]
54549,2024-04-26T17:56:25Z,2024-04-29T06:37:14Z,a2937,1,0,2,4,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",84677.0,0,238075.0,0,8,0,0,4086892.330905,,0,2,0,False,['a2937']
54576,2024-04-29T20:27:01Z,2024-05-01T13:22:09Z,ahmaxed,6,0,7,220,3,3,2,['platform: learn'],29092.0,0,147309.0,0,9,0,0,3909422.334541,,0,7,0,False,"['Sembauke', 'ahmaxed', 'moT01']"
54372,2024-04-12T10:07:34Z,2024-04-26T01:03:43Z,ojeytonwilliams,5,0,7,639,187,2,2,"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: tools/scripts']",21173.0,1,1546313.0,0,30,0,0,4016385.63354,,0,7,0,False,"['Nirajn2311', 'ojeytonwilliams', 'moT01']"
54565,2024-04-29T08:34:24Z,2024-04-30T07:22:16Z,ojeytonwilliams,0,0,2,9,2,2,2,['platform: api'],,0,82502.0,0,30,8,0,4016986.671663,,0,2,0,False,[]
54568,2024-04-29T13:47:02Z,2024-04-30T02:00:06Z,camperbot,0,0,2,6259,1131,2,2,"['scope: curriculum', 'scope: i18n', 'crowdin-sync']",,0,43985.0,0,30,9,0,4036745.825884,,0,2,0,False,[]
54587,2024-04-30T16:44:41Z,2024-05-01T16:25:12Z,nandita1,0,0,1,1,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,85232.0,0,30,0,0,3898439.854959,,0,1,0,False,[]
54443,2024-04-18T18:00:43Z,2024-04-29T06:41:04Z,moT01,0,0,2,149,11,2,2,"['status: waiting review', 'scope: curriculum']",,0,930697.0,0,30,9,0,4085212.926671,,0,2,0,False,[]
54573,2024-04-29T17:13:19Z,2024-04-30T13:43:09Z,jdwilkin4,0,0,3,931,79,2,2,"['status: waiting review', 'scope: curriculum', 'scope: i18n', 'new javascript course']",,1,73794.0,0,30,0,0,3994560.013931,,0,3,0,False,[]
54274,2024-04-02T09:23:52Z,2024-05-02T08:20:22Z,Rabberpoli,7,9,16,14,1,6,4,"['status: waiting review', 'scope: curriculum', 'new javascript course']",11.0,0,2588190.0,1,30,1,0,3841131.05828,,0,16,0,False,"['naomi-lgbt', 'camperbot', 'Rabberpoli', 'lasjorg', 'juancaorg', 'huyenltnguyen', 'jdwilkin4']"
54489,2024-04-23T00:37:20Z,2024-04-25T21:04:52Z,jdwilkin4,2,0,9,502,28,2,2,"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'new javascript course']",1329.0,1,248633.0,0,8,0,0,4397880.06835,,0,9,0,False,['jdwilkin4']
54500,2024-04-23T09:48:26Z,2024-04-25T23:48:11Z,scissorsneedfoodtoo,0,1,2,1,1,2,2,"['status: waiting review', 'platform: learn', 'scope: i18n']",,0,235892.0,1,9,0,0,4377555.080138,,0,2,0,False,['naomi-lgbt']
54520,2024-04-24T15:35:57Z,2024-04-25T23:58:45Z,ojeytonwilliams,3,3,4,35,1,3,2,"['status: waiting review', 'scope: tools/scripts']",4906.0,0,116568.0,0,8,0,0,4389628.123882,,0,4,0,False,"['naomi-lgbt', 'ojeytonwilliams']"
54548,2024-04-26T17:16:04Z,2024-04-29T06:33:34Z,a2937,0,0,1,8,2,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,220651.0,0,8,0,0,4106738.173621,,0,1,0,False,[]
54395,2024-04-15T11:30:01Z,2024-04-29T05:49:21Z,ahmaxed,1,0,2,732,13,2,2,"['status: waiting review', 'platform: api', 'scope: tools/scripts']",224.0,0,1189160.0,0,8,0,0,4109392.219345,,0,2,0,False,['socket-security[bot]']
54417,2024-04-17T04:17:51Z,2024-05-02T06:34:43Z,sanskriti2005,2,14,9,537,33,2,2,"['status: waiting review', 'scope: curriculum', 'scope: i18n', 'new javascript course']",73362.0,0,1304212.0,2,30,0,0,3847470.228995,,0,9,0,False,"['naomi-lgbt', 'sanskriti2005', 'Ksound22']"
54566,2024-04-29T11:04:15Z,2024-04-29T17:38:14Z,ojeytonwilliams,2,5,3,43,5,4,2,['scope: tools/scripts'],1825.0,0,71991.0,1,30,0,0,4018507.238783,,0,3,0,False,"['ojeytonwilliams', 'ahmaxed', 'ShaunSHamilton']"
53963,2024-03-03T01:45:38Z,2024-04-29T16:55:24Z,a2937,16,0,10,326,4,2,2,"['status: waiting update', 'platform: learn']",157361.0,0,4994315.0,2,19,3,0,4054500.328411,,0,10,0,False,"['naomi-lgbt', 'Sembauke', 'a2937', 'ahmaxed']"
54579,2024-04-30T07:01:14Z,2024-04-30T16:07:28Z,spetterman66,2,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",24041.0,0,36911.0,0,30,0,0,3981768.380937,,0,1,0,False,"['spetterman66', 'jdwilkin4']"
54517,2024-04-24T13:31:10Z,2024-04-26T00:04:12Z,Dario-DC,0,2,2,63,1,3,2,"['status: waiting review', 'scope: curriculum', 'new python course']",,0,151872.0,0,20,0,0,4361811.469048,,0,2,0,False,"['naomi-lgbt', 'Dario-DC']"
54554,2024-04-27T13:56:37Z,2024-04-29T06:39:56Z,katereverie,0,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,146599.0,0,20,3,0,4106357.536733,,0,1,0,False,[]
54593,2024-05-01T13:13:52Z,2024-05-02T05:52:22Z,camperbot,0,0,1,9489,1055,2,2,"['scope: curriculum', 'scope: i18n', 'crowdin-sync']",,0,59911.0,0,30,1,0,3850010.74398,,0,1,0,False,[]
54426,2024-04-17T13:59:24Z,2024-04-25T12:02:59Z,ojeytonwilliams,0,0,2,85,4,2,2,['platform: api'],,0,685788.0,0,30,1,0,4431001.821432,,0,2,0,False,[]
54526,2024-04-24T20:48:07Z,2024-04-26T17:33:16Z,jdwilkin4,3,13,4,217,33,3,2,"['status: waiting review', 'scope: curriculum']",87036.0,1,161109.0,1,20,3,0,4326357.911637,,0,4,0,False,"['naomi-lgbt', 'a2937', 'jdwilkin4']"
54515,2024-04-24T10:57:43Z,2024-04-25T18:18:32Z,ojeytonwilliams,0,0,1,12,1,2,2,"['status: waiting review', 'platform: learn']",,0,112849.0,0,30,0,0,4410041.9492,,0,1,0,False,[]
54537,2024-04-26T03:22:30Z,2024-04-26T05:26:37Z,camperbot,0,0,5,11855,2107,2,2,"['scope: curriculum', 'platform: learn', 'scope: i18n', 'crowdin-sync']",,0,7448.0,0,8,0,0,4369955.993472,,0,5,0,False,[]
54532,2024-04-25T15:38:55Z,2024-04-25T16:45:21Z,camperbot,0,0,1,76254,3342,2,2,"['scope: curriculum', 'scope: i18n', 'crowdin-sync']",,0,3987.0,0,30,0,0,4415632.167535,,0,1,0,False,[]
54509,2024-04-23T20:14:04Z,2024-04-25T18:43:40Z,powerm17,1,0,2,8,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",12.0,0,167376.0,0,8,0,0,4408534.178299,,0,2,0,False,['camperbot']
54185,2024-03-22T12:18:47Z,2024-04-29T18:47:00Z,ojeytonwilliams,1,0,5,96,2,2,2,"['status: waiting review', 'scope: tools/scripts']",3009318.0,1,3306493.0,0,30,9,0,4062734.229221,,0,5,0,False,['ojeytonwilliams']
54530,2024-04-25T14:38:16Z,2024-04-25T19:22:44Z,ojeytonwilliams,0,0,3,91,3,2,2,"['status: waiting review', 'platform: api']",,0,17068.0,0,30,1,0,4406190.264975,,0,3,0,False,[]
54528,2024-04-25T10:29:45Z,2024-04-25T21:11:39Z,ojeytonwilliams,0,0,4,52,1,2,2,"['status: waiting review', 'scope: tools/scripts']",,0,38514.0,0,30,2,0,4399655.301716,,0,4,0,False,[]
54493,2024-04-23T04:08:08Z,2024-04-25T18:48:46Z,mahmudhmh,0,0,1,4,1,2,2,[],,0,225638.0,0,30,1,0,4408228.390868,,0,1,0,False,[]
54514,2024-04-24T09:25:33Z,2024-04-25T15:00:59Z,ilenia-magoni,0,0,1,4,1,2,2,"['status: waiting review', 'scope: curriculum']",,0,111147.0,0,30,0,0,4417274.486232,,0,1,0,False,[]
54301,2024-04-04T16:36:08Z,2024-04-27T20:20:27Z,jenna5376,5,5,4,290,9,5,2,"['status: waiting review', 'platform: learn', 'scope: i18n', 'scope: tools/scripts']",346708.0,0,2000659.0,0,30,9,0,4229927.611109,,1,4,0,False,"['naomi-lgbt', 'ahmaxed', 'camperbot', 'shootermv', 'bbsmooth', 'Sembauke', 'jenna5376']"
54508,2024-04-23T20:08:22Z,2024-04-25T16:27:02Z,a2937,2,2,3,9,1,3,2,"['scope: curriculum', 'status: waiting update', 'new python course']",48050.0,0,160017.0,1,8,3,0,4416235.729991,,0,3,0,False,"['a2937', 'Dario-DC', 'ilenia-magoni']"
54518,2024-04-24T13:43:58Z,2024-04-26T15:32:47Z,ojeytonwilliams,2,2,5,185,15,3,2,"['status: waiting review', 'platform: api', 'scope: tools/scripts']",6066.0,0,180303.0,0,30,0,0,4332613.746043,,0,5,0,False,"['naomi-lgbt', 'ojeytonwilliams', 'ShaunSHamilton']"
54531,2024-04-25T15:30:56Z,2024-04-25T20:53:37Z,huyenltnguyen,0,0,3,8,1,2,2,"['status: waiting review', 'platform: learn']",,0,45498.0,0,8,0,0,4374600.948434,,0,3,0,False,[]
54535,2024-04-25T21:39:24Z,2024-04-25T23:57:26Z,ogprakash,3,0,4,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",492.0,0,8282.0,0,8,0,0,4389709.149449,,0,4,0,False,['camperbot']
54529,2024-04-25T12:20:52Z,2024-04-26T13:27:51Z,ahmaxed,0,4,4,75,3,4,2,"['status: waiting review', 'platform: api']",,0,90421.0,1,30,0,0,4341082.177557,,0,4,0,False,"['naomi-lgbt', 'ahmaxed', 'ojeytonwilliams', 'Outlawbeauty']"
54272,2024-04-02T04:55:15Z,2024-04-25T23:26:11Z,Supravisor,0,1,2,2,1,3,2,['scope: curriculum'],,0,2054701.0,0,30,0,0,4390739.40147,,0,2,0,False,['moT01']
54455,2024-04-20T16:12:18Z,2024-04-26T17:55:22Z,ilenia-magoni,2,5,8,23,1,3,3,"['status: waiting review', 'scope: curriculum']",318650.0,0,528667.0,4,30,9,0,4320950.583876,,0,8,0,False,"['jdwilkin4', 'lasjorg', 'ilenia-magoni']"
